locationid,day_of_week,hour,norm_value
24,4,18,0.0952016503256821
24,4,19,0.08174784577551426
24,4,20,0.06834098837856298
24,4,21,0.06356474426387841
24,4,22,0.059553859561156886
24,4,23,0.05450312431029916
24,5,0,0.04629725609866602
24,5,1,0.037645999982488486
24,5,2,0.029886298357750748
24,5,3,0.021657018355838185
24,5,4,0.013552757762015545
24,5,5,0.0066382547536339275
24,5,6,0.007995114240368034
24,5,7,0.016396988691215253
24,5,8,0.023889205862075838
24,5,9,0.03652779799351704
24,5,10,0.05184513228632977
24,5,11,0.05923447519629153
24,5,12,0.06672861826666329
24,5,13,0.06878406549036371
24,5,14,0.06883553388041155
24,5,15,0.07095016175046887
24,5,16,0.07165865267086194
24,5,17,0.07806563544800316
24,5,18,0.0782568097759218
24,5,19,0.07217862226071887
24,5,20,0.06203036291901214
24,5,21,0.05789851506229425
24,5,22,0.05696445003592218
24,5,23,0.05549223132100277
24,6,0,0.04655032681038162
24,6,1,0.03931878242622233
24,6,2,0.031028733121070858
24,6,3,0.02386391806290691
24,6,4,0.014566048065018843
24,6,5,0.007075094351018981
24,6,6,0.009275796494417909
24,6,7,0.015760727691543224
24,6,8,0.022878154056964705
24,6,9,0.03378536259674617
24,6,10,0.046056283022870174
24,6,11,0.05190242658522135
24,6,12,0.06374966806858905
24,6,13,0.06301614483725147
24,6,14,0.06258803124456958
24,6,15,0.06433470284932144
24,6,16,0.06660534230644806
24,6,17,0.07063443610988197
24,6,18,0.06906684762517618
24,6,19,0.06157761533496661
24,6,20,0.05268564400919664
24,6,21,0.04827567807148966
24,6,22,0.04476968774276711
24,6,23,0.03596537176362676
41,0,0,0.07445210199906406
41,0,1,0.04346101615243733
41,0,2,0.028263940758256736
41,0,3,0.01955341777743897
41,0,4,0.02336174614879939
41,0,5,0.032298125517409515
41,0,6,0.07150365876501545
41,0,7,0.17443801217888139
41,0,8,0.24524998592945402
41,0,9,0.19377762021229245
41,0,10,0.15901497449159355
41,0,11,0.15820543406622484
41,0,12,0.1654067129299513
41,0,13,0.1763444973845898
41,0,14,0.19577699445362368
